-2 0.5 0 0.048
-1.952 0.50144 0.06 0.048
-1.9042 0.50575 0.12 0.048
-1.8568 0.51293 0.18 0.048
-1.8098 0.52293 0.24 0.048
-1.7636 0.53573 0.3 0.048
-1.7182 0.55129 0.36 0.048
-1.6738 0.56953 0.42 0.048
-1.6306 0.59041 0.48 0.048
-1.5887 0.61384 0.54 0.048
-1.5483 0.63974 0.6 0.048
-1.5095 0.66801 0.66 0.048
-1.4725 0.69856 0.72 0.048
-1.4374 0.73127 0.78 0.048
-1.4043 0.76604 0.84 0.048
-1.3733 0.80272 0.9 0.048
-1.3435 0.84032 0.9 0.048
-1.3137 0.87792 0.9 0.048
-1.2838 0.91552 0.9 0.048
-1.254 0.95312 0.9 0.048
-1.2242 0.99072 0.9 0.048
-1.1943 1.0283 0.9 0.048
-1.1634 1.065 0.84 0.048
-1.1303 1.0998 0.7819 0.048
-1.0954 1.1327 0.7279 0.048
-1.0587 1.1637 0.67763 0.048
-1.0206 1.1929 0.63077 0.048
-0.98128 1.2204 0.58703 0.048
-0.94078 1.2461 0.54615 0.048
-0.8993 1.2703 0.50793 0.048
-0.85695 1.2929 0.47217 0.048
-0.81384 1.314 0.43869 0.048
-0.77007 1.3337 0.40732 0.048
-0.72573 1.352 0.37794 0.048
-0.68088 1.3691 0.35041 0.048
-0.63559 1.385 0.3246 0.048
-0.58991 1.3998 0.30042 0.048
-0.54391 1.4135 0.27776 0.048
-0.49761 1.4261 0.25653 0.048
-0.45106 1.4378 0.23664 0.048
-0.4043 1.4487 0.21802 0.048
-0.35735 1.4586 0.20058 0.048
-0.31023 1.4678 0.18426 0.048
-0.26298 1.4763 0.16899 0.048
-0.21561 1.484 0.15471 0.048
-0.16813 1.4911 0.14137 0.048
-0.12057 1.4975 0.1289 0.048
-0.072933 1.5034 0.11726 0.048
-0.025233 1.5088 0.10641 0.048
0.02252 1.5136 0.096281 0.048
0.070408 1.5168 0.036281 0.048
0.1184 1.5171 -0.023719 0.048
0.16632 1.5145 -0.083719 0.048
0.21401 1.5091 -0.14372 0.048
0.26128 1.5008 -0.20372 0.048
0.30796 1.4897 -0.26372 0.048
0.3539 1.4758 -0.32372 0.048
0.39892 1.4592 -0.38372 0.048
0.44287 1.4399 -0.44372 0.048
0.48557 1.418 -0.50372 0.048
0.52689 1.3936 -0.56372 0.048
